question,answer
"Which territories were immediately before the commencement of the Constitution either comprised in the Province of West Bengal or were being administered as if they formed part of that Province, and what are the territories specified in clause (c) of section 2 of the Chandernagore (Merger) Act, 1954, sub-section (1) of section 3 of the Bihar and West Bengal (Transfer of Territories) Act, 1956, and in Part III of the First Schedule, excluding the territories referred to in Part III of the Second Schedule to the Constitution (One Hundredth Amendment) Act, 2015?",These territories comprise of West Bengal.
What territory did Jammu and Kashmir comprise of before the commencement of this Constitution?,The territory which immediately before the commencement of this Constitution was comprised in the Indian State of Jammu and Kashmir.
What was the territory comprised in the Indian State of Jammu and Kashmir immediately before the commencement of the Constitution?,Jammu and Kashmir
What territories does Nagaland comprise of?,"The territories specified in sub-section (1) of section 3 of the State of Nagaland Act, 1962."
Which Act specifies the territories of Nagaland in its sub-section (1) of section 3?,"The State of Nagaland Act, 1962."
What territories does Haryana comprise of?,"The territories specified in sub-section (1) of section 3 of the Punjab Reorganisation Act, 1966 and the territories specified in clause (a) of subsection (1) of section 4 of the Haryana and Uttar Pradesh (Alteration of Boundaries) Act, 1979, but excluding the territories specified in clause (v) of sub-section."
Which act and sections specify the territories of Haryana?,"The territories of Haryana are specified in sub-section (1) of section 3 of the Punjab Reorganisation Act, 1966 and the territories specified in clause (a) of subsection (1) of section 4 of the Haryana and Uttar Pradesh (Alteration of Boundaries) Act, 1979."
What territories were being administered as Chief Commissioners’ Provinces under the names of Himachal Pradesh and Bilaspur before the commencement of the Indian Constitution?,The territories which immediately before the commencement of this Constitution were being administered as if they were Chief Commissioners’ Provinces under the names of Himachal Pradesh and Bilaspur.
What is the status of the territories which immediately before the commencement of the Indian Constitution were being administered as if they were Chief Commissioners’ Provinces under the names of Himachal Pradesh and Bilaspur?,These territories were being administered as Chief Commissioners’ Provinces under the names of Himachal Pradesh and Bilaspur before the commencement of the Indian Constitution.
What territory was being administered as a Chief Commissioner’s Province under the name of Manipur before the commencement of the Indian Constitution?,The territory which immediately before the commencement of this Constitution was being administered as if it were a Chief Commissioner’s Province under the name of Manipur.
What is the name of the territory that was administered as if it were a Chief Commissioner’s Province immediately before the commencement of the Indian Constitution?,Manipur
What territory was being administered as a Chief Commissioner’s Province under the name of Tripura before the commencement of the Indian Constitution?,The territory which immediately before the commencement of this Constitution was being administered as if it were a Chief Commissioner’s Province under the name of Tripura.
What was the status of the territory known as Tripura before the commencement of the Indian Constitution?,It was being administered as a Chief Commissioner’s Province.
"What territories does the Constitution (One Hundredth Amendment) Act, 2015 refer to?","The territories referred to in Part II of the First Schedule to the Constitution (One Hundredth Amendment) Act, 2015."
Which act refers to the territories in Part II of the First Schedule?,"The Constitution (One Hundredth Amendment) Act, 2015."
"What territories were comprised in Sikkim before the commencement of the Constitution (Thirty-sixth Amendment) Act, 1975?","The territories which immediately before the commencement of the Constitution (Thirty-sixth Amendment) Act, 1975, were comprised in Sikkim."
"Which territories, immediately before the commencement of the Constitution (Thirty-sixth Amendment) Act 1975, were included in Sikkim?","The territories which were included in Sikkim before the commencement of the Constitution (Thirty-sixth Amendment) Act, 1975 are the same territories that were comprised in Sikkim."
"What territories are specified in section 3 of the Goa, Daman and Diu Reorganisation Act, 1987?","The territories specified in section 3 of the Goa, Daman and Diu Reorganisation Act, 1987."
"In which section of the Goa, Daman and Diu Reorganisation Act, 1987 are the territories specified?","The territories are specified in section 3 of the Goa, Daman and Diu Reorganisation Act, 1987."
"What territories are specified in section 3 of the Madhya Pradesh Reorganisation Act, 2000?","The territories specified in section 3 of the Madhya Pradesh Reorganisation Act, 2000."
Which Act specifies the territories in its section 3?,"The Madhya Pradesh Reorganisation Act, 2000."
"What territories are specified in section 3 of the Uttar Pradesh Reorganisation Act, 2000?","The territories specified in section 3 of the Uttar Pradesh Reorganisation Act, 2000."
"Which section of the Uttar Pradesh Reorganisation Act, 2000 specifies the territories?","Section 3 of the Uttar Pradesh Reorganisation Act, 2000 specifies the territories."
What is the territory of Delhi according to the constitution?,The territory which immediately before the commencement of this Constitution was comprised in the Chief Commissioner’s Province of Delhi.
What was comprised in the Chief Commissioner’s Province of Delhi immediately before the commencement of the Constitution?,The territory of Delhi
What is the territory of The Andaman and Nicobar Islands according to the constitution?,The territory which immediately before the commencement of this Constitution was comprised in the Chief Commissioner’s Province of the Andaman and Nicobar Islands.
What was comprised in the Chief Commissioner’s Province of the Andaman and Nicobar Islands immediately before the commencement of the constitution?,The territory of The Andaman and Nicobar Islands according to the constitution
What is the territory of Lakshadweep according to the constitution?,"The territory specified in section 6 of the States Reorganisation Act, 1956."
Which Act specifies the territory of Lakshadweep?,"The States Reorganisation Act, 1956."
What is the territory of Dadra and Nagar Haveli according to the constitution?,"The territory which immediately before the eleventh day of August, 1961 was comprised in Free Dadra and Nagar Haveli."
"What became of the territory that was comprised in Free Dadra and Nagar Haveli immediately before the eleventh day of August, 1961 according to the constitution?",It became the territory of Dadra and Nagar Haveli.
What is the territory of Daman and Diu according to the constitution?,"The territories specified in section 4 of the Goa, Daman and Diu Reorganisation Act, 1987."
Which act specifies the territories of Daman and Diu?,"The Goa, Daman and Diu Reorganisation Act, 1987"
What is the emolument per month for the President according to the constitution?,"10,000 rupees"
"Who, according to the constitution, receives a monthly emolument of 10,000 rupees?",The President
What is the emolument per month for the Governor of a State according to the constitution?,"5,500 rupees"
"According to the constitution, who receives a monthly emolument of 5,500 rupees?",The Governor of a State
What allowances are paid to the President and to the Governors of the States according to the constitution?,Such allowances as were payable respectively to the Governor-General of the Dominion of India and to the Governors of the corresponding Provinces immediately before the commencement of this Constitution.
What allowances were payable respectively to the Governor-General of the Dominion of India and to the Governors of the corresponding Provinces immediately before the commencement of the Constitution?,Those allowances are now paid to the President and to the Governors of the States according to the constitution.
What privileges are the President and the Governors of the States entitled to according to the constitution?,They shall be entitled to the same privileges to which the Governor General and the Governors of the corresponding Provinces were respectively entitled immediately before the commencement of this Constitution.
Who is entitled to the same privileges as the Governor General and the Governors of the corresponding Provinces were entitled to immediately before the commencement of the Constitution?,The President and the Governors of the States are entitled to these privileges according to the constitution.
What is the entitlement of a person who discharges the functions of the Governor?,"The person shall be entitled to the same emoluments, allowances and privileges as the President or the Governor."
"Who is entitled to the same emoluments, allowances, and privileges as the President or the Governor?","A person who discharges the functions of the Governor is entitled to the same emoluments, allowances, and privileges as the President or the Governor."
Who are the positions mentioned in Part C of the provisions?,"The positions are the Speaker and the Deputy Speaker of the House of the People, the Chairman and the Deputy Chairman of the Council of States, and the Speaker and the Deputy Speaker of the Legislative Assembly, and the Chairman and the Deputy Chairman of the Legislative Council of a State."
"Which positions does the Speaker and the Deputy Speaker of the House of the People, the Chairman and the Deputy Chairman of the Council of States, and the Speaker and the Deputy Speaker of the Legislative Assembly, and the Chairman and the Deputy Chairman of the Legislative Council of a State refer to in the provisions?",These positions are mentioned in Part C of the provisions.
What are the salaries and allowances of the Speaker of the House of People and the Chairman of the Council of States?,Their salaries and allowances are the same as what were payable to the Speaker of the Constituent Assembly of the Dominion of India immediately before the commencement of this Constitution.
Who receives the same salaries and allowances as the Speaker of the Constituent Assembly of the Dominion of India did immediately before the commencement of the Constitution?,The Speaker of the House of People and the Chairman of the Council of States receive the same salaries and allowances.
What are the salaries and allowances of the Deputy Speaker of the House of the People and the Deputy Chairman of the Council of States?,Their salaries and allowances are the same as what were payable to the Deputy Speaker of the Constituent Assembly of the Dominion of India immediately before the commencement of this Constitution.
Who receives the same salaries and allowances as the Deputy Speaker of the Constituent Assembly of the Dominion of India immediately before the commencement of this Constitution?,The Deputy Speaker of the House of the People and the Deputy Chairman of the Council of States receive the same salaries and allowances.
What are the salaries and allowances of the Speaker and the Deputy Speaker of the Legislative Assembly and the Chairman and the Deputy Chairman of the Legislative Council of a State?,Their salaries and allowances are the same as what were payable respectively to the Speaker and the Deputy Speaker of the Legislative Assembly and the President and the Deputy President of the Legislative Council of the corresponding Province immediately before the commencement of this Constitution.
What is the basis for the salaries and allowances of the Speaker and the Deputy Speaker of the Legislative Assembly and the Chairman and the Deputy Chairman of the Legislative Council of a State?,Their salaries and allowances are the same as what were payable respectively to the Speaker and the Deputy Speaker of the Legislative Assembly and the President and the Deputy President of the Legislative Council of the corresponding Province immediately before the commencement of this Constitution.
"What is the salary for the Chief Justice of the Supreme Court, as per the document?","10,000 rupees, but it has been updated to 1,00,000 rupees as of 2009"
What was the original salary of the Chief Justice of the Supreme Court and what is it updated to as of 2009?,"The original salary was 10,000 rupees, but it has been updated to 1,00,000 rupees as of 2009"
"What is the salary for any other Judge of the Supreme Court, as per the document?","9,000 rupees, but it has been updated to 90,000 rupees as of 2009"
"What was the updated salary for a Supreme Court Judge in 2009, and what was it previously?","The updated salary for a Supreme Court Judge in 2009 was 90,000 rupees, up from the previous salary of 9,000 rupees."
How is the salary of a Judge of the Supreme Court affected if they receive a pension or retirement gratuity?,Their salary is reduced by the amount of the pension or the pension equivalent of the retirement gratuity.
What happens to the salary of a Supreme Court Judge if they are receiving a pension or retirement gratuity?,Their salary is reduced by the amount of the pension or the pension equivalent of the retirement gratuity.
"What are the judges of the Supreme Court entitled to, regarding their residence?",Every Judge of the Supreme Court is entitled to the use of an official residence without payment of rent.
Who is entitled to the use of an official residence without payment of rent?,Every Judge of the Supreme Court is entitled to this.
Who are the exceptions to the sub-paragraph (2) regarding the official residence?,A Judge who was holding office as the Chief Justice of the Federal Court or any other Judge of the Federal Court at the time of the commencement of this Constitution.
What position was held by the person who is an exception to the sub-paragraph (2) regarding the official residence at the time of the commencement of the Constitution?,The position was held by a Judge who was the Chief Justice of the Federal Court or any other Judge of the Federal Court.
Who is entitled to receive special pay in addition to their salary?,The Chief Justice or other Judge of the Supreme Court who has spent time on actual service.
What additional benefits does the Chief Justice or other Judge of the Supreme Court receive after spending time on actual service?,They are entitled to receive special pay in addition to their salary.
What allowances do Judges of the Supreme Court receive?,They receive reasonable allowances to reimburse for expenses incurred in travelling on duty within the territory of India.
Who receives reasonable allowances to reimburse for expenses incurred in travelling on duty within the territory of India?,Judges of the Supreme Court receive these allowances.
Who determines the travelling facilities for the Judges of the Supreme Court?,The President prescribes the travelling facilities.
Who prescribes the travelling facilities for the Judges of the Supreme Court?,The President
What governs the rights in respect of leave of absence and pension of the Judges of the Supreme Court?,"The provisions which, immediately before the commencement of this Constitution, were applicable to the Judges of the Federal Court."
What were applied to the Judges of the Federal Court that now governs the rights in respect of leave of absence and pension of the Judges of the Supreme Court?,"The provisions which, immediately before the commencement of this Constitution"
What is the salary of the Chief Justice and any other Judge of the High Court?,"The Chief Justice receives 90,000 rupees and any other Judge receives 80,000 rupees."
"Who receives a salary of 90,000 rupees and who receives 80,000 rupees in the High Court?","The Chief Justice receives 90,000 rupees and any other Judge receives 80,000 rupees."
What happens to the salary of a Judge of a High Court if they are in receipt of a pension at the time of their appointment?,Their salary in respect of service in the High Court shall be reduced by the amount of that pension.
What is the effect on the salary of a High Court Judge if they are receiving a pension at the time of their appointment?,Their salary in respect of service in the High Court shall be reduced by the amount of that pension.
Who will be entitled to receive an amount equivalent to the difference between their current salary and the salary they were drawing before the commencement of the Constitution?,"Every person who was holding office as the Chief Justice of a High Court or any other Judge of a High Court and has become the Chief Justice or a Judge of the High Court in the corresponding State under clause (1) of article 376, if they were drawing a salary at a higher rate before the commencement of the Constitution."
"Who is the person that was holding office as the Chief Justice of a High Court or any other Judge of a High Court and has become the Chief Justice or a Judge of the High Court in the corresponding State under clause (1) of article 376, and was drawing a salary at a higher rate before the commencement of the Constitution?",This person is entitled to receive an amount equivalent to the difference between their current salary and the salary they were drawing before the commencement of the Constitution.
"Who will be entitled to receive the same amount as allowance in addition to the salary specified in sub-paragraph (1), if they were drawing an allowance before the commencement of the Constitution (Seventh Amendment) Act, 1956?",Any person who was holding office as the Chief Justice of the High Court of a State specified in Part B of the First Schedule and has become the Chief Justice of the High Court of a State specified in the amended Schedule by the Act.
"Who was holding office as the Chief Justice of the High Court of a State specified in Part B of the First Schedule and has become the Chief Justice of the High Court of a State specified in the amended Schedule by the Constitution (Seventh Amendment) Act, 1956, and is entitled to receive the same amount as allowance in addition to the salary if they were drawing an allowance before the commencement of the Act?",Any person
What happens to the pension of a person in relation to their previous service if they have commuted the value thereof before their appointment?,It will be reduced by the amount of that portion of the pension.
What will happen to the pension of a person who has commuted the value of their previous service before their appointment?,It will be reduced by the amount of that portion of the pension.
What happens if a person has received a retirement gratuity in respect of their previous service before such appointment?,It will be reduced by the pension equivalent of that gratuity.
What happens to the retirement gratuity a person has received from their previous service when they receive a pension?,The retirement gratuity will be reduced by the pension equivalent of that gratuity.
What does the expression 'Chief Justice' include?,The expression 'Chief Justice' includes an acting Chief Justice.
What is included in the role of an acting Chief Justice?,The role of an acting Chief Justice is included in the expression 'Chief Justice'.
What is included in the term 'Judge'?,The term 'Judge' includes an ad hoc Judge.
What term includes an ad hoc Judge?,The term 'Judge' includes an ad hoc Judge.
What does 'actual service' include for a Judge?,"Actual service includes time spent by a Judge on duty as a Judge or in the performance of such other functions as he may at the request of the President undertake to discharge, vacations excluding any time during which the Judge is absent on leave, and joining time on transfer from a High Court to the Supreme Court or from one High Court to another."
"What is meant by a Judge's time on duty, performance of other functions at the request of the President, vacations excluding leave time, and joining time on transfer from one court to another?",These terms refer to 'actual service' for a Judge.
What is the salary of the Comptroller and Auditor-General of India?,The Comptroller and Auditor-General of India shall be paid a salary at the rate of four thousand rupees per mensem.
Who receives a salary at the rate of four thousand rupees per mensem in India?,The Comptroller and Auditor-General of India receives a salary at the rate of four thousand rupees per mensem.
"What additional pay is the person, who was holding office immediately before the commencement of this Constitution as Auditor-General of India, entitled to?",The person who was holding office immediately before the commencement of this Constitution as Auditor-General of India and has become on such commencement the Comptroller and Auditor-General of India under article 377 shall in addition to the salary specified in sub-paragraph (1) be entitled to receive as special pay an amount equivalent to the difference between the salary so specified and the salary which he was drawing as Auditor-General of India immediately before such commencement.
Who is entitled to receive as special pay an amount equivalent to the difference between the salary so specified and the salary which he was drawing as Auditor-General of India immediately before the commencement of the Constitution?,The person who was holding office immediately before the commencement of this Constitution as Auditor-General of India and has become on such commencement the Comptroller and Auditor-General of India under article 377 is entitled to this additional pay.
What governs the rights in respect of leave of absence and pension and the other conditions of service of the Comptroller and Auditor-General of India?,"The rights in respect of leave of absence and pension and the other conditions of service of the Comptroller and Auditor-General of India shall be governed or shall continue to be governed, as the case may be, by the provisions which were applicable to the Auditor-General of India immediately before the commencement of this Constitution and all references in those provisions to the Governor-General shall be construed as references to the President."
"Which provisions govern the rights in respect of leave of absence and pension and other conditions of service of the Comptroller and Auditor-General of India, and to whom do references to the Governor-General in those provisions now refer?",The rights in respect of leave of absence and pension and the other conditions of service of the Comptroller and Auditor-General of India are governed by the provisions which were applicable to the Auditor-General of India immediately before the commencement of this Constitution. All references in those provisions to the Governor-General are now construed as references to the President.
What is the salary of the Judges of the Supreme Court?,"The salary of Judges of the Supreme Court has been raised to Rs.90,000 per mensem."
What has been the recent increase in the salary of the Judges of the Supreme Court?,"The salary of Judges of the Supreme Court has been raised to Rs.90,000 per mensem."
What is the form of oath of office for a Minister for the Union?,"“I, A. B., do swear in the name of God that I will bear true faith and allegiance to the Constitution of India as by law established, that I will uphold the sovereignty and integrity of India, that I will faithfully and conscientiously discharge my duties as a Minister for the Union and that I will do right to all manner of people in accordance with the Constitution and the law, without fear or favour, affection or ill-will.”"
"Who swears, 'I, A. B., do swear in the name of God that I will bear true faith and allegiance to the Constitution of India as by law established, that I will uphold the sovereignty and integrity of India, that I will faithfully and conscientiously discharge my duties as a Minister for the Union and that I will do right to all manner of people in accordance with the Constitution and the law, without fear or favour, affection or ill-will'?",A Minister for the Union
What is the form of oath of secrecy for a Minister for the Union?,"“I, A.B., do swear in the name of God that I will not directly or indirectly communicate or reveal to any person or persons any matter which shall be brought under my consideration or shall become known to me as a Minister for the Union except as may be required for the due discharge of my duties as such Minister.”"
"What is the oath that states 'I, A.B., do swear in the name of God that I will not directly or indirectly communicate or reveal to any person or persons any matter which shall be brought under my consideration or shall become known to me as a Minister for the Union except as may be required for the due discharge of my duties as such Minister'?",It is the form of oath of secrecy for a Minister for the Union.
What is the form of oath or affirmation to be made by a candidate for election to Parliament?,"“I, A.B., having been nominated as a candidate to fill a seat in the Council of States (or the House of the People) do swear in the name of God that I will bear true faith and allegiance to the Constitution of India as by law established and that I will uphold the sovereignty and integrity of India.”"
What does candidate A.B. swear to uphold when nominated to fill a seat in the Council of States or the House of the People in India?,Candidate A.B. swears to bear true faith and allegiance to the Constitution of India as by law established and to uphold the sovereignty and integrity of India.
What is the form of oath or affirmation to be made by a member of Parliament?,"“I, A.B., having been elected (or nominated) a member of the Council of States (or the House of the People) do swear in the name of God that I will bear true faith and allegiance to the Constitution of India as by law established, that I will uphold the sovereignty and integrity of India and that I will faithfully discharge the duty upon which I am about to enter.”"
"What does A.B., a member of the Council of States (or the House of the People), swear to uphold and bear true faith to after being elected or nominated?","A.B. swears in the name of God that he will bear true faith and allegiance to the Constitution of India as by law established, uphold the sovereignty and integrity of India and faithfully discharge the duty upon which he is about to enter."
What is the form of oath or affirmation to be made by the Judges of the Supreme Court and the Comptroller and Auditor-General of India?,"“I, A.B., having been appointed Chief Justice (or a Judge) of the Supreme Court of India (or Comptroller and Auditor-General of India) do swear in the name of God that I will bear true faith and solemnly affirm faith and allegiance to the Constitution of India as by law established, that I will uphold the sovereignty and integrity of India, that I will duly and faithfully and to the best of my ability, knowledge and judgment perform the duties of my office without fear or favour, affection or ill-will and that I will uphold the Constitution and the laws.”"
"Who is required to swear in the name of God to uphold the Constitution and laws of India, bear true faith and allegiance, uphold sovereignty and integrity, and perform their duties without fear, favour, affection or ill-will?",The Judges of the Supreme Court and the Comptroller and Auditor-General of India are required to make this oath or affirmation.
What is the form of oath of office for a Minister for a State?,"“I, A.B., do swear in the name of God that I will bear true faith solemnly affirm and allegiance to the Constitution of India as by law established, that I will uphold the sovereignty and integrity of India, that I will faithfully and conscientiously discharge my duties as a Minister for the State of ..........and that I will do right to all manner of people in accordance with the Constitution and the law without fear or favour, affection or ill-will.”"
What does Minister for a State swear to uphold and discharge in his oath of office?,"The Minister for a State swears to uphold the sovereignty and integrity of India, bear true faith and allegiance to the Constitution of India as by law established, faithfully and conscientiously discharge his duties as a Minister for the State, and to do right to all manner of people in accordance with the Constitution and the law without fear or favour, affection or ill-will."
What is the form of oath of secrecy for a Minister for a State?,"“I, A.B., do swear in the name of God that I will not directly or solemnly affirm indirectly communicate or reveal to any person or persons any matter which shall be brought under my consideration or shall become known to me as a Minister for the State of ....................except as may be required for the due discharge of my duties as such Minister.”"
What does a Minister for a State swear or affirm not to do in their oath of secrecy?,"A Minister for a State swears or affirms not to directly or indirectly communicate or reveal to any person or persons any matter which shall be brought under their consideration or shall become known to them, except as may be required for the due discharge of their duties as such Minister."
What is the form of oath or affirmation to be made by a candidate for election to the Legislature of a State?,"“I, A.B., having been nominated as a candidate to fill a seat in the Legislative Assembly (or Legislative Council), do swear in the name of God that I will bear true faith and allegiance to the Constitution of India as by law established."
What does A.B. swear to do in the oath taken when nominated as a candidate for the Legislative Assembly (or Legislative Council) in India?,A.B. swears to bear true faith and allegiance to the Constitution of India as by law established.
What is the form of oath or affirmation to be made by a member of the Legislature of a State in India?,"""I, A.B., having been elected (or nominated) a member of the Legislative Assembly (or Legislative Council), do swear in the name of God that solemnly affirm I will bear true faith and allegiance to the Constitution of India as by law established, that I will uphold the sovereignty and integrity of India and that I will faithfully discharge the duty upon which I am about to enter."""
"Who says the oath 'I, A.B., having been elected (or nominated) a member of the Legislative Assembly (or Legislative Council), do swear in the name of God that solemnly affirm I will bear true faith and allegiance to the Constitution of India as by law established, that I will uphold the sovereignty and integrity of India and that I will faithfully discharge the duty upon which I am about to enter'?",A member of the Legislature of a State in India
What is the form of oath or affirmation to be made by the Judges of a High Court in India?,"""I, A.B., having been appointed Chief Justice (or a Judge) of the High Court at (or of) ………-….. do swear in the name of God that I will bear solemnly affirm true faith and allegiance to the Constitution of India as by law established, that I will uphold the sovereignty and integrity of India, that I will duly and faithfully and to the best of my ability, knowledge and judgment perform the duties of my office without fear or favour, affection or ill-will and that I will uphold the Constitution and the laws."""
What does a Chief Justice or Judge of a High Court in India swear to uphold and perform during their oath or affirmation?,"During their oath or affirmation, a Chief Justice or Judge of a High Court in India swears to bear solemnly affirm true faith and allegiance to the Constitution of India as by law established, uphold the sovereignty and integrity of India, perform the duties of their office without fear or favour, affection or ill-will and uphold the Constitution and the laws."
How many seats are allocated to Andhra Pradesh in the Council of States according to the FOURTH SCHEDULE of the Constitution of India?,18
Which Indian state is allocated 18 seats in the Council of States according to the FOURTH SCHEDULE of the Constitution of India?,Andhra Pradesh
How many seats are allocated to Assam in the Council of States according to the FOURTH SCHEDULE of the Constitution of India?,7
Which Indian state is allocated 7 seats in the Council of States according to the FOURTH SCHEDULE of the Constitution of India?,Assam
How many seats are allocated to Bihar in the Council of States according to the FOURTH SCHEDULE of the Constitution of India?,16
Which Indian state is allocated 16 seats in the Council of States according to the FOURTH SCHEDULE of the Constitution of India?,Bihar
How many seats are allocated to Jharkhand in the Council of States according to the FOURTH SCHEDULE of the Constitution of India?,6
Which state is allocated 6 seats in the Council of States according to the FOURTH SCHEDULE of the Constitution of India?,Jharkhand
How many seats are allocated to Goa in the Council of States according to the FOURTH SCHEDULE of the Constitution of India?,1
Which state is allocated only one seat in the Council of States according to the FOURTH SCHEDULE of the Constitution of India?,Goa
How many seats are allocated to Gujarat in the Council of States according to the FOURTH SCHEDULE of the Constitution of India?,11
Which state is allocated 11 seats in the Council of States according to the FOURTH SCHEDULE of the Constitution of India?,Gujarat
How many seats are allocated to Haryana in the Council of States according to the FOURTH SCHEDULE of the Constitution of India?,5
Which Indian state is allocated 5 seats in the Council of States according to the FOURTH SCHEDULE of the Constitution of India?,Haryana
What is the number associated with Madhya Pradesh?,11
Which Indian state is associated with the number 11?,Madhya Pradesh
What is the number associated with Chhattisgarh?,5
Which state is associated with the number 5?,Chhattisgarh
What is the number associated with Tamil Nadu?,18
Which Indian state is associated with the number 18?,Tamil Nadu
What is the number associated with Maharashtra?,19
Which state is associated with the number 19?,Maharashtra
What is the number associated with Karnataka?,12
Which state is associated with the number 12?,Karnataka
What is the number associated with Odisha?,10
Which state is associated with the number 10?,Odisha
What is the number associated with Punjab?,7
Which state is associated with the number 7?,Punjab
What is the number associated with Rajasthan?,10
Which state is associated with the number 10?,Rajasthan
What is the number associated with Uttar Pradesh?,31
Which state is associated with the number 31?,Uttar Pradesh
What is the number associated with Uttarakhand?,3
Which region is associated with the number 3?,Uttarakhand
What is the number associated with West Bengal?,16
Which state is associated with the number 16?,West Bengal
What is the number associated with Jammu and Kashmir?,4
Which place is associated with the number 4?,Jammu and Kashmir
What is the number associated with Nagaland?,1
Which region is associated with the number 1?,Nagaland
What is the number associated with Himachal Pradesh?,3
Which state is associated with the number 3?,Himachal Pradesh
What is the number associated with Manipur?,1
What is the state associated with the number 1?,Manipur
What is the number associated with Tripura?,1
Which state is associated with the number 1?,Tripura
What is the number associated with Meghalaya?,1
What is associated with the number 1 in the context of Indian states?,Meghalaya
What is the number associated with Sikkim?,1
Which place is associated with the number 1?,Sikkim
What is the number associated with Mizoram?,1
Which state is associated with the number 1?,Mizoram
What is the number associated with Arunachal Pradesh?,3
Which state is associated with the number 3?,Arunachal Pradesh
What is the number associated with Delhi?,1
Which city is associated with the number 1?,Delhi
What is the number associated with Puducherry?,1
Which region is associated with the number 1?,Puducherry
What is the total number?,233
Is the total number 233?,Yes
Which states are excluded from the expression 'State' in the interpretation of the Fifth Schedule of the Indian Constitution?,"Assam, Meghalaya, Tripura and Mizoram"
"From what expression in the interpretation of the Fifth Schedule of the Indian Constitution are Assam, Meghalaya, Tripura, and Mizoram excluded?",State
Who is responsible for making a report to the President regarding the administration of Scheduled Areas?,The Governor of each State having Scheduled Areas
What is the role of the Governor of each State having Scheduled Areas in relation to the President?,They are responsible for making a report to the President regarding the administration of Scheduled Areas
What is the Tribes Advisory Council?,"The Tribes Advisory Council is a body established in each State having Scheduled Areas and, if directed by the President, also in any State having Scheduled Tribes but not Scheduled Areas. It consists of not more than twenty members, three-fourths of whom should be representatives of the Scheduled Tribes in the State's Legislative Assembly. The council's duty is to advise on matters related to the welfare and advancement of the Scheduled Tribes in the State."
What is the composition of the Tribes Advisory Council and what are its duties?,"The Tribes Advisory Council consists of not more than twenty members, three-fourths of whom should be representatives of the Scheduled Tribes in the State's Legislative Assembly. The council's duty is to advise on matters related to the welfare and advancement of the Scheduled Tribes in the State."
What happens if the number of representatives of Scheduled Tribes in the Legislative Assembly is less than the number of seats in the Tribes Advisory Council?,"If the number of representatives of the Scheduled Tribes in the Legislative Assembly of the State is less than the number of seats in the Tribes Advisory Council to be filled by such representatives, the remaining seats shall be filled by other members of those tribes."
How are the remaining seats filled in the Tribes Advisory Council if the number of representatives from the Scheduled Tribes in the Legislative Assembly is less than the required number?,The remaining seats are filled by other members of those tribes.
Who can make rules for the Tribes Advisory Council?,"The Governor can make rules prescribing or regulating the number of members of the Council, the mode of their appointment, the conduct of its meetings and its procedure in general, and all other incidental matters."
What powers does the Governor have regarding the Tribes Advisory Council?,"The Governor can make rules prescribing or regulating the number of members of the Council, the mode of their appointment, the conduct of its meetings and its procedure in general, and all other incidental matters."
What power does the Governor have regarding laws applicable to Scheduled Areas?,The Governor may direct that any particular Act of Parliament or of the Legislature of the State shall not apply to a Scheduled Area or any part thereof in the State or shall apply to a Scheduled Area or any part thereof in the State subject to exceptions and modifications as specified in the notification. The Governor can also make regulations for the peace and good government of any area in a State which is for the time being a Scheduled Area.
"What actions can a Governor take with regards to a particular Act of Parliament or of the Legislature of the State in a Scheduled Area, and what regulations can they make?",The Governor may direct that any particular Act of Parliament or of the Legislature of the State shall not apply to a Scheduled Area or any part thereof in the State or shall apply to a Scheduled Area or any part thereof in the State subject to exceptions and modifications as specified in the notification. The Governor can also make regulations for the peace and good government of any area in a State which is for the time being a Scheduled Area.
Who can regulate the transfer of land among members of the Scheduled Tribes?,The Governor
Who is responsible for regulating the transfer of land among members of the Scheduled Tribes?,The Governor
Who has the authority to regulate the allotment of land to members of the Scheduled Tribes?,The Governor
What is the role of the Governor in regulating the allotment of land to members of the Scheduled Tribes?,The Governor has the authority to regulate the allotment of land to members of the Scheduled Tribes.
Who can regulate the business of money-lender to members of the Scheduled Tribes?,The Governor
Who has the authority to regulate the business of money-lender to members of the Scheduled Tribes?,The Governor
Who must the regulations made under this paragraph be submitted to?,The President
To whom must the regulations made under a certain paragraph be submitted?,The President
Who should be consulted before making a regulation under this paragraph if there is a Tribes Advisory Council for the State?,The Tribes Advisory Council
Who is to be consulted before making a regulation under a given paragraph if there is a specific advisory council for the State?,The Tribes Advisory Council
What does the expression 'Scheduled Areas' mean in this Constitution?,Such areas as the President may by order declare to be Scheduled Areas
Who has the authority to declare areas as 'Scheduled Areas' according to the Constitution?,The President
Who has the authority to alter the boundaries of a Scheduled Area?,The President
What role has the authority to alter the boundaries of a Scheduled Area?,The President
Who can declare any territory not previously included in any State to be part of a Scheduled Area?,The President
Who has the power to declare any territory not previously included in any State to be part of a Scheduled Area?,The President
Who can rescind any order made under this paragraph relating to Scheduled Areas?,The President
Who has the authority to rescind orders made under the paragraph relating to Scheduled Areas?,The President
Who should be consulted before redefining the areas which are to be Scheduled Areas?,The Governor of the State concerned
Who needs to be consulted before redefining the areas which are to be Scheduled Areas in a specific state?,The Governor of the State concerned
What does the President have the power to do according to the text?,The President has the power to make incidental and consequential provisions as appear to be necessary and proper.
Who has the power to make incidental and consequential provisions as appear to be necessary and proper according to the text?,The President has the power to do so.
